nome_pt,id_base,nome_base,gif,qualidade,nota
"Puxada triângulo","2616","cable lateral pulldown with v-bar","videos/2616-4c9BhzB.gif","exato",""
"Puxada pegada neutra","0818","twin handle parallel grip lat pulldown","videos/0818-rkg41Fb.gif","exato",""
"Puxada unilateral no cabo","3563","cable one arm pulldown","videos/3563-U5INZY6.gif","exato",""
"Puxada com braços estendidos (pulldown)","0238","cable straight arm pulldown","videos/0238-x69MAlq.gif","exato",""
"Barra fixa supinada","1326","chin-up","videos/1326-T2mxWqc.gif","exato",""
"Barra fixa assistida máquina","0017","assisted pull-up","videos/0017-kiJ4Z2K.gif","exato",""
"Remada curvada supinada","0118","barbell reverse grip bent over row","videos/0118-SzX3uzM.gif","exato",""
"Remada curvada com halteres","0293","dumbbell bent over row","videos/0293-BJ0Hz5L.gif","exato",""
"Remada no smith","1359","smith bent over row","videos/1359-ZX9UZmj.gif","exato",""
"Remada unilateral máquina","1313","lever unilateral row","videos/1313-oROuvrX.gif","exato",""
"Remada invertida","0499","inverted row","videos/0499-bZGHsAZ.gif","exato",""
"Pull-over no cabo","0237","cable straight arm pulldown (with rope)","videos/0237-DT14T9T.gif","aprox","pulldown de braço estendido com corda, que é o movimento da dica"
"Hiperextensão lombar","0489","hyperextension","videos/0489-zhMwOwE.gif","exato",""
"Levantamento terra sumô","0117","barbell sumo deadlift","videos/0117-KgI0tqW.gif","exato",""
"Levantamento terra com barra hexagonal (trap bar)","0811","trap bar deadlift","videos/0811-jQGwmxN.gif","exato",""
"Puxada por trás da nuca","1325","cable wide grip rear pulldown behind neck","videos/1325-CmEr4pM.gif","exato",""
"Puxada alta com corda","0177","cable lateral pulldown (with rope attachment)","videos/0177-CuaWCmC.gif","exato",""
"Remada baixa pegada aberta","0218","cable seated wide-grip row","videos/0218-qcY50ZD.gif","exato",""
"Remada baixa unilateral no cabo","0214","cable seated one arm alternate row","videos/0214-vpp9Ku2.gif","aprox","remada sentada alternada"
"Remada curvada no smith pegada supinada","1361","smith reverse grip bent over row","videos/1361-aaxA3cm.gif","exato",""
"Extensão lombar no solo (superman)","","","","sem par",""
"Voador invertido (peck deck invertido)","0602","lever seated reverse fly","videos/0602-myfUsKf.gif","exato",""
"Crucifixo inverso no cabo","0225","cable standing cross-over high reverse fly","videos/0225-P5p0j8B.gif","exato",""
"Elevação lateral no cabo","0192","cable one arm lateral raise","videos/0192-wEulIzp.gif","exato",""
"Elevação frontal com barra","0041","barbell front raise","videos/0041-b2Uoz54.gif","exato",""
"Elevação frontal com anilha","0834","weighted front raise","videos/0834-e4aFmFY.gif","exato",""
"Elevação frontal no cabo","0162","cable front raise","videos/0162-u2X71Np.gif","exato",""
"Desenvolvimento no smith","0766","smith shoulder press","videos/0766-903mzG8.gif","exato",""
"Remada alta no cabo","0246","cable upright row","videos/0246-cALKspW.gif","exato",""
"Rotação externa no cabo","0235","cable standing shoulder external rotation","videos/0235-FWdVhcW.gif","exato",""
"Encolhimento com barra","0095","barbell shrug","videos/0095-dG7tG5y.gif","exato",""
"Encolhimento no smith","0767","smith shrug","videos/0767-OUQ0ZyW.gif","exato",""
"Desenvolvimento por trás da nuca","0788","standing behind neck press","videos/0788-xDh0lJr.gif","exato",""
"Elevação lateral unilateral inclinada","0356","dumbbell one arm lateral raise with support","videos/0356-Yg7MJAT.gif","exato",""
"Remada alta com halteres","0437","dumbbell upright row","videos/0437-ainizkb.gif","exato",""
"Desenvolvimento unilateral com halter","0361","dumbbell one arm shoulder press","videos/0361-84RyJf8.gif","exato",""
"Desenvolvimento na barra ancorada (landmine)","","","","sem par",""
"Supino reto no smith","0748","smith bench press","videos/0748-trqKQv2.gif","exato",""
"Supino inclinado no smith","0757","smith incline bench press","videos/0757-5v7KYld.gif","exato",""
"Supino declinado no smith","0753","smith decline bench press","videos/0753-ETZfAbZ.gif","exato",""
"Crucifixo declinado com halteres","0302","dumbbell decline fly","videos/0302-xXm4nYq.gif","exato",""
"Crossover polia baixa","0179","cable low fly","videos/0179-FVmZVhk.gif","exato",""
"Crucifixo inclinado no cabo","0171","cable incline fly","videos/0171-tBWXbIT.gif","exato",""
"Supino com halteres pegada neutra","0352","dumbbell neutral grip bench press","videos/0352-pP8wP2P.gif","exato",""
"Flexão de braço declinada","0279","decline push-up","videos/0279-i5cEhka.gif","exato",""
"Flexão de braço inclinada","0493","incline push-up","videos/0493-B1EVP9F.gif","exato",""
"Flexão de braço com joelhos apoiados","3211","kneeling push-up (male)","videos/3211-ZOuKWir.gif","exato",""
"Rosca direta com barra W","0447","ez barbell curl","videos/0447-6TG6x2w.gif","exato",""
"Rosca scott unilateral com halter","0372","dumbbell preacher curl","videos/0372-jivWf8n.gif","aprox","rosca scott com halter"
"Rosca scott máquina","0592","lever preacher curl","videos/0592-b6hQYMb.gif","exato",""
"Rosca inclinada com halteres","0318","dumbbell incline curl","videos/0318-ae9UoXQ.gif","exato",""
"Rosca martelo no cabo (corda)","0165","cable hammer curl (with rope)","videos/0165-HPlPoQA.gif","exato",""
"Rosca unilateral no cabo","0190","cable one arm curl","videos/0190-YTur5nR.gif","exato",""
"Rosca 21","","","","sem par","é um protocolo de rosca direta, não um movimento próprio"
"Rosca direta com halteres","0294","dumbbell biceps curl","videos/0294-NbVPDMW.gif","exato",""
"Rosca martelo alternada","1648","dumbbell alternate seated hammer curl","videos/1648-6em2Dxj.gif","aprox","martelo alternada sentado"
"Rosca bayesiana no cabo","","","","sem par",""
"Rosca Zottman","0439","dumbbell zottman curl","videos/0439-kXaIn5A.gif","exato",""
"Tríceps pulley barra reta","0201","cable pushdown","videos/0201-3ZflifB.gif","exato",""
"Tríceps pulley pegada supinada","0207","cable reverse-grip pushdown","videos/0207-VjYliFZ.gif","exato",""
"Tríceps francês no cabo (corda)","0194","cable overhead triceps extension (rope attachment)","videos/0194-2IxROQ1.gif","exato",""
"Tríceps testa com barra W","1748","ez bar lying close grip triceps extension behind head","videos/1748-6CKUx7o.gif","aprox","barra W deitado, descendo atrás da cabeça"
"Tríceps testa com halteres","0351","dumbbell lying triceps extension","videos/0351-mpKZGWz.gif","exato",""
"Tríceps coice no cabo","0860","cable kickback","videos/0860-HEJ6DIX.gif","exato",""
"Flexão diamante","0283","diamond push-up","videos/0283-soIB2rj.gif","exato",""
"Tríceps francês com barra W","0453","ez barbell seated triceps extension","videos/0453-iaapw0g.gif","exato",""
"Tríceps testa no cabo","0186","cable lying triceps extension v. 2","videos/0186-uxJcFUU.gif","exato",""
"Agachamento goblet","1760","dumbbell goblet squat","videos/1760-yn8yg1r.gif","exato",""
"Agachamento pendular","","","","sem par",""
"Agachamento sissy","1489","sissy squat","videos/1489-xdYPUtE.gif","exato",""
"Afundo reverso","0381","dumbbell rear lunge","videos/0381-SSsBDwB.gif","exato",""
"Passada andando com halteres","1460","walking lunge","videos/1460-IZVHb27.gif","aprox","passada andando sem carga"
"Afundo no smith","0769","smith sprint lunge","videos/0769-HsjbB1z.gif","aprox","afundo no smith em passada longa"
"Cadeira extensora unilateral","0585","lever leg extension","videos/0585-my33uHU.gif","aprox","mesma máquina, imagem com as duas pernas"
"Agachamento com halteres","0413","dumbbell squat","videos/0413-HsvHqgf.gif","exato",""
"Agachamento búlgaro no smith","0768","smith single leg split squat","videos/0768-wWFspEi.gif","exato",""
"Afundo com barra","0054","barbell lunge","videos/0054-t8iSghb.gif","exato",""
"Agachamento frontal no smith","1433","smith front squat (clean grip)","videos/1433-lFhb2Rw.gif","exato",""
"Agachamento isométrico na parede","","","","sem par",""
"Stiff com halteres","0432","dumbbell stiff leg deadlift","videos/0432-5eLRITT.gif","exato",""
"Levantamento terra romeno com barra","0085","barbell romanian deadlift","videos/0085-wQ2c4XD.gif","exato",""
"Stiff unilateral com halter","1757","dumbbell single leg deadlift","videos/1757-gKozT8X.gif","exato",""
"Flexora em pé máquina","0582","lever kneeling leg curl","videos/0582-nnmCTLN.gif","aprox","flexora ajoelhado na máquina"
"Flexão nórdica","0496","inverse leg curl (bench support)","videos/0496-ms7tjSG.gif","exato",""
"Stiff no smith","0752","smith deadlift","videos/0752-UfePqpx.gif","aprox","terra no smith"
"Flexão de joelho com caneleira em pé","0795","standing single leg curl","videos/0795-C5jncD2.gif","exato",""
"Glúteo quatro apoios","","","","sem par",""
"Glúteo máquina (coice)","","","","sem par","a imagem mais próxima é a mesma da Cadeira de glúteo (hip thrust máquina)"
"Elevação pélvica no smith","0756","smith hip raise","videos/0756-CqhoytW.gif","exato",""
"Abdução de quadril no cabo","","","","sem par",""
"Adução de quadril no cabo","0168","cable hip adduction","videos/0168-hBGWILP.gif","exato",""
"Agachamento sumô com barra","","","","sem par",""
"Agachamento sumô no smith","3142","smith sumo squat","videos/3142-dzz6BiV.gif","exato",""
"Afundo cruzado","3769","curtsey squat","videos/3769-gUjqdei.gif","exato",""
"Abdução deitado com caneleira","0710","side hip abduction","videos/0710-7WaDzyL.gif","exato",""
"Caminhada lateral com elástico (mini band)","0628","monster walk","videos/0628-O95afRA.gif","aprox","caminhada com elástico (monster walk)"
"Panturrilha no smith","0773","smith standing leg calf raise","videos/0773-6MaEjVA.gif","exato",""
"Panturrilha no hack","1383","hack calf raise","videos/1383-2ORFMoR.gif","exato",""
"Abdominal canivete","0507","jackknife sit-up","videos/0507-mbkgB44.gif","exato",""
"Abdominal na roda","0857","wheel rollerout","videos/0857-NAgVB3t.gif","exato",""
"Elevação de pernas na barra","0472","hanging leg raise","videos/0472-I3tsCnC.gif","exato",""
"Abdominal declinado","0282","decline sit-up","videos/0282-QLL2gdc.gif","exato",""
"Giro russo","0687","russian twist","videos/0687-XVDdcoj.gif","exato",""
"Escalador","0630","mountain climber","videos/0630-RJgzwny.gif","exato",""
"Antirrotação no cabo (Pallof press)","0979","band horizontal pallof press","videos/0979-9pa4H5m.gif","aprox","com elástico no lugar do cabo"
"Abdominal remador","0871","tuck crunch","videos/0871-BMMolZ3.gif","aprox","abdominal grupado"
"Abdominal infra tesourinha","0459","flutter kicks","videos/0459-UVo2Qs2.gif","exato",""
"Elevação de joelhos na paralela","2963","captains chair straight leg raise","videos/2963-weoDEpH.gif","aprox","na cadeira romana, pernas estendidas"
"Flexão lateral com halter","0407","dumbbell side bend","videos/0407-IpONWYv.gif","exato",""
"Abdominal com anilha","0832","weighted crunch","videos/0832-s8nrDXF.gif","exato",""
"Inseto morto (dead bug)","0276","dead bug","videos/0276-iny3m5y.gif","exato",""
"Rosca de punho com barra","0126","barbell wrist curl","videos/0126-82LxxkW.gif","exato",""
"Rosca de punho inversa","0082","barbell reverse wrist curl","videos/0082-LsZkfU6.gif","exato",""
"Rosca de punho com halter","0364","dumbbell one arm wrist curl","videos/0364-q8aHNoF.gif","exato",""
"Caminhada do fazendeiro","2133","farmers walk","videos/2133-qPEzJjA.gif","exato",""
"Rolo de punho","0859","wrist rollerer","videos/0859-bd5b860.gif","exato",""
