grupo,nome_pt,consulta,nome_en_encontrado,gif_url
Abdômen,Abdominal infra,lying leg raise,lying leg-hip raise,videos/0865-9IxJdtC.gif
Abdômen,Abdominal máquina,lever seated crunch,lever seated crunch,videos/1452-Wgaz7pm.gif
Abdômen,Abdominal na polia,cable kneeling crunch,cable kneeling crunch,videos/0175-WW95auq.gif
Abdômen,Abdominal oblíquo na bicicleta,bicycle crunch,band bicycle crunch,videos/0972-tZkGYZ9.gif
Abdômen,Abdominal supra,crunch,frog crunch,videos/2429-FFRP97T.gif
Abdômen,Elevação de pernas,hanging leg raise,hanging leg raise,videos/0472-I3tsCnC.gif
Abdômen,Prancha,plank,power point plank,videos/3665-hCjGsRQ.gif
Abdômen,Prancha lateral,side plank,push-up to side plank,videos/0664-KhHJ338.gif
Abdômen,Rotação de tronco máquina,lever seated twist,lever seated dip,videos/1451-BRImeP8.gif
Abdômen,Rotação de tronco no cabo,cable standing twist,cable standing twist row (v-bar),videos/0236-JOZhu2h.gif
Bíceps,Rosca alternada com halteres,dumbbell alternate biceps curl,dumbbell alternate biceps curl,videos/0285-BU15nH4.gif
Bíceps,Rosca concentrada,dumbbell concentration curl,dumbbell concentration curl,videos/0297-gvsWLQw.gif
Bíceps,Rosca direta,barbell standing wide grip biceps curl,barbell standing wide grip biceps curl,videos/1629-faHKVkK.gif
Bíceps,Rosca inversa com barra,barbell reverse curl,barbell reverse curl,videos/0080-xNrS20v.gif
Bíceps,Rosca máquina,lever preacher curl,lever preacher curl,videos/0592-b6hQYMb.gif
Bíceps,Rosca martelo,dumbbell hammer curl,dumbbell hammer curl,videos/0313-slDvUAU.gif
Bíceps,Rosca no cabo,cable curl,cable curl,videos/0868-G08RZcQ.gif
Bíceps,Rosca scott,barbell preacher curl,barbell preacher curl,videos/0070-qOgPVf6.gif
Bíceps,Rosca spider,dumbbell spider curl,dumbbell reverse spider curl,videos/1675-6sMAmNv.gif
Costas,Barra fixa,pull up,pull-up,videos/0652-lBDjFxJ.gif
Costas,Extensora lombar máquina,lever back extension,lever back extension,videos/0573-rUXfn3R.gif
Costas,Levantamento terra,barbell deadlift,barbell deadlift,videos/0032-ila4NZS.gif
Costas,Pull-over com halter,dumbbell pullover,dumbbell pullover,videos/0375-9XjtHvS.gif
Costas,Puxada frente no pulley,cable lat pulldown,cable pulldown (pro lat bar),videos/0197-qdRxqCj.gif
Costas,Puxada pegada aberta,wide grip lat pulldown,twin handle parallel grip lat pulldown,videos/0818-rkg41Fb.gif
Costas,Puxada pegada supinada,reverse grip lat pulldown,reverse grip machine lat pulldown,videos/0673-ecpY0rH.gif
Costas,Puxador articulado máquina,lever front pulldown,lever front pulldown,videos/0579-7F1DVzn.gif
Costas,Remada baixa no cabo,cable seated row,cable seated row,videos/0861-fUBheHs.gif
Costas,Remada cavalinho,t bar row,lever t bar row,videos/0606-aaXr7ld.gif
Costas,Remada curvada com barra,barbell bent over row,barbell bent over row,videos/0027-eZyBC3j.gif
Costas,Remada máquina,lever seated row,lever seated row,videos/1350-7I6LNUG.gif
Costas,Remada máquina peito-apoiado,lever chest supported row,lever bent over row,videos/0574-X3cqyXz.gif
Costas,Remada unilateral com halter,dumbbell one arm row,dumbbell one arm upright row,videos/0363-6cKQC5E.gif
Glúteos,Agachamento sumô com halter,dumbbell sumo squat,dumbbell squat,videos/0413-HsvHqgf.gif
Glúteos,Cadeira abdutora,lever seated hip abduction,lever seated hip abduction,videos/0597-CHpahtl.gif
Glúteos,Cadeira adutora,lever seated hip adduction,lever seated hip adduction,videos/0598-oHsrypV.gif
Glúteos,Cadeira de glúteo (hip thrust máquina),lever hip thrust,lever hip extension v. 2,videos/2286-OPqShYN.gif
Glúteos,Coice no cabo,cable glute kickback,cable kickback,videos/0860-HEJ6DIX.gif
Glúteos,Elevação pélvica com barra,barbell hip thrust,barbell lying lifting (on hip),videos/0058-SNFfUff.gif
Glúteos,Elevação pélvica unilateral,single leg hip thrust,hanging leg hip raise,videos/1764-VEcJRo2.gif
Glúteos,Extensão de quadril no cabo,cable hip extension,cable standing hip extension,videos/0228-Kpajagk.gif
Glúteos,Ponte de glúteo,glute bridge,glute bridge march,videos/3561-GibBPPg.gif
Ombro,Arnold press,dumbbell arnold press,dumbbell arnold press,videos/2137-Xy4jlWA.gif
Ombro,Crucifixo inverso,dumbbell rear delt fly,dumbbell rear fly,videos/0378-8DiFDVA.gif
Ombro,Desenvolvimento com halteres,dumbbell shoulder press,dumbbell seated shoulder press,videos/0405-znQUdHY.gif
Ombro,Desenvolvimento máquina,lever shoulder press,lever shoulder press,videos/0603-67n3r98.gif
Ombro,Desenvolvimento militar com barra,barbell standing military press,barbell standing wide military press,videos/1457-Kyd9Rz5.gif
Ombro,Elevação frontal com halteres,dumbbell front raise,dumbbell front raise,videos/0310-3eGE2JC.gif
Ombro,Elevação lateral com halteres,dumbbell lateral raise,dumbbell lateral raise,videos/0334-DsgkuIt.gif
Ombro,Elevação lateral máquina,lever lateral raise,lever lateral raise,videos/0584-dRTfGZT.gif
Ombro,Encolhimento com halteres,dumbbell shrug,dumbbell shrug,videos/0406-NJzBsGJ.gif
Ombro,Encolhimento máquina,lever shrug,lever shrug,videos/0604-ZZKbeMw.gif
Ombro,Face pull no cabo,cable face pull,cable twisting pull,videos/0244-zCgxPbV.gif
Ombro,Remada alta com barra,barbell upright row,barbell upright row,videos/0120-UDlhcO8.gif
Panturrilha,Panturrilha burrinho,donkey calf raise,donkey calf raise,videos/0284-u5ESqzH.gif
Panturrilha,Panturrilha em pé,standing calf raise,cable standing calf raise,videos/1375-yl2IYyy.gif
Panturrilha,Panturrilha no leg press,leg press calf raise,lever seated squat calf raise on leg press machine,videos/1385-IeDEXTe.gif
Panturrilha,Panturrilha sentado,seated calf raise,lever seated calf raise,videos/0594-bOOdeyc.gif
Panturrilha,Panturrilha unilateral com halter,dumbbell single leg calf raise,dumbbell single leg calf raise,videos/0409-1kB3Wmk.gif
Peito,Crossover no cabo,cable crossover,cable rope crossover seated row,videos/1320-UFGF6gk.gif
Peito,Crucifixo inclinado com halteres,dumbbell incline fly,dumbbell incline fly,videos/0319-ESOd5Pl.gif
Peito,Crucifixo reto com halteres,dumbbell fly,dumbbell fly,videos/0308-yz9nUhF.gif
Peito,Flexão de braço,push up,push-up,videos/0662-I4hDWkc.gif
Peito,Peck deck,lever pec deck fly,lever seated fly,videos/0596-v3xmPAR.gif
Peito,Supino declinado com barra,barbell decline bench press,barbell decline bench press,videos/0033-GrO65fd.gif
Peito,Supino declinado com halteres,dumbbell decline bench press,dumbbell decline bench press,videos/0301-DwhEmmE.gif
Peito,Supino declinado máquina,lever decline chest press,lever decline chest press,videos/1300-vsVoPHt.gif
Peito,Supino inclinado com barra,barbell incline bench press,barbell incline bench press,videos/0047-3TZduzM.gif
Peito,Supino inclinado com halteres,dumbbell incline bench press,dumbbell incline bench press,videos/0314-ns0SIbU.gif
Peito,Supino inclinado máquina,lever incline chest press,lever incline chest press,videos/1299-jHAnWmT.gif
Peito,Supino máquina,lever chest press,lever chest press,videos/0577-T0yTjgW.gif
Peito,Supino reto com barra,barbell bench press,barbell bench press,videos/0025-EIeI8Vf.gif
Peito,Supino reto com halteres,dumbbell bench press,dumbbell bench press,videos/0289-SpYC0Kp.gif
Peito,Supino reto máquina,lever horizontal chest press,lever horizontal one leg press,videos/2611-9KU9TYF.gif
Posterior de coxa,Bom dia (good morning) com barra,barbell good morning,barbell good morning,videos/0044-XlZ4lAC.gif
Posterior de coxa,Cadeira flexora,lever leg curl,lever lying leg curl,videos/0586-17lJ1kr.gif
Posterior de coxa,Cadeira flexora unilateral,single leg seated leg curl,lever seated leg curl,videos/0599-Zg3XY7P.gif
Posterior de coxa,Flexora unilateral no cabo,cable leg curl,cable assisted inverse leg curl,videos/3235-zHEpuuc.gif
Posterior de coxa,Levantamento terra romeno com halteres,dumbbell romanian deadlift,dumbbell romanian deadlift,videos/1459-rR0LJzx.gif
Posterior de coxa,Mesa flexora,lying leg curl,lever lying two-one leg curl,videos/3195-UXpKJoq.gif
Posterior de coxa,Stiff com barra,barbell stiff leg deadlift,barbell straight leg deadlift,videos/0116-hrVQWvE.gif
Quadríceps,Afundo com halteres,dumbbell lunge,dumbbell lunge,videos/0336-RRWFUcw.gif
